date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:03:55	647/647	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2024%20May%202018%2015:03:56%20GMT	http://edge-sample17.firstmall.kr/robots.txt		(from )
00:03:55	0/0	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Thu,%2024%20May%202018%2015:03:56%20GMT	http://edge-sample17.firstmall.kr/	C:/My%20Web%20Sites/test1/edge-sample17.firstmall.kr/index.html	(from )
00:03:55	303202/303202	---M-Z	200	added ('OK')	text/html	date:Thu,%2024%20May%202018%2015:03:57%20GMT	http://edge-sample17.firstmall.kr/main/index	C:/My%20Web%20Sites/test1/edge-sample17.firstmall.kr/main/index.html	(from http://edge-sample17.firstmall.kr/)
00:03:56	0/0	---M--	200	added ('OK')	text/css	etag:%2272bc16-0-55dd774c1d486%22	http://edge-sample17.firstmall.kr/data/font/font.css	C:/My%20Web%20Sites/test1/edge-sample17.firstmall.kr/data/font/font.css	(from http://edge-sample17.firstmall.kr/main/index)
00:03:56	376/376	---M--	200	added ('OK')	text/css	etag:%227e955e-178-56c5bf9e0f2a8%22	http://edge-sample17.firstmall.kr/data/skin/fruit_puro_gls/css/style.css	C:/My%20Web%20Sites/test1/edge-sample17.firstmall.kr/data/skin/fruit_puro_gls/css/style.css	(from http://edge-sample17.firstmall.kr/main/index)
00:03:56	1624/1624	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2024%20May%202018%2015:03:57%20GMT	http://edge-sample17.firstmall.kr//data/icon/favicon/favicon1497244551.ico	C:/My%20Web%20Sites/test1/edge-sample17.firstmall.kr/data/icon/favicon/favicon1497244551.ico	(from http://edge-sample17.firstmall.kr/main/index)
00:03:58	7188/7188	---M--	200	added ('OK')	application/javascript	etag:%224ccebb-1c14-55dd774e8ec56%22	http://edge-sample17.firstmall.kr/app/javascript/plugin/jquery.activity-indicator-1.0.0.min.js	C:/My%20Web%20Sites/test1/edge-sample17.firstmall.kr/app/javascript/plugin/jquery.activity-indicator-1.0.0.min.js	(from http://edge-sample17.firstmall.kr/main/index)
00:03:58	10519/10519	---M--	200	added ('OK')	application/javascript	etag:%224ccec2-2917-55dd774e8f03e%22	http://edge-sample17.firstmall.kr/app/javascript/plugin/jquery.poshytip.min.js	C:/My%20Web%20Sites/test1/edge-sample17.firstmall.kr/app/javascript/plugin/jquery.poshytip.min.js	(from http://edge-sample17.firstmall.kr/main/index)
00:03:59	1941/1941	---M--	200	added ('OK')	application/javascript	etag:%224cceb7-795-55dd774e8e86e%22	http://edge-sample17.firstmall.kr/app/javascript/plugin/jquery.cookie.js	C:/My%20Web%20Sites/test1/edge-sample17.firstmall.kr/app/javascript/plugin/jquery.cookie.js	(from http://edge-sample17.firstmall.kr/main/index)
00:04:00	6786/6786	---M--	200	added ('OK')	application/javascript	etag:%224ccec3-1a82-55dd774e8f03e%22	http://edge-sample17.firstmall.kr/app/javascript/plugin/jquery.slides.min.js	C:/My%20Web%20Sites/test1/edge-sample17.firstmall.kr/app/javascript/plugin/jquery.slides.min.js	(from http://edge-sample17.firstmall.kr/main/index)
